Key,Source,Context,Changes,English,French,German,Klingon,Spanish
tutorialTipQuest01,,Popup Tip,KgNone,"This mod focuses on more realistic crafting, cold weather survival and relentless zombie combat. You will need your workbench for everything, don't lose it. All functioning workstations can be broken down to be picked up.",,,,
tutorialTipQuest01_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Welcome to Canada,,,,
tutorialTipQuest02,,Popup Tip,KgNone,"Survival in the Canadian Wilderness isn't easy, just ask Les Stroud. It's easy to get lost in thick woods, always check your compass and place markers on your map! FIRST thing you should do is PLACE AND OPEN YOUR SURVIVAL GEAR!!! It Will help keep you alive. After placing it you will be rewarded with the Survival Machete, a rifle, winter clothing and other supplies.",,,,
tutorialTipQuest02_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Be Careful,,,,
quest_BasicSurvival1_description,,Quest Info,Reordered,"Place your starter equipment and break it open.",,,,
quest_BasicSurvival1_subtitle,,Quest Info,Reordered,Open Your Starting Gear,,,,
quest_BasicSurvival2_description,,Quest Info,Reordered,"Place your workbench",,,,
quest_BasicSurvival2_subtitle,,Quest Info,Reordered,Place Your Workbench,,,,
quest_BasicSurvival3_description,,Quest Info,Reordered,"Craft a Sawhorse inside the workbench.",,,,
quest_BasicSurvival3_subtitle,,Quest Info,Reordered,Craft a Sawhorse,,,,
quest_BasicSurvival4_description,,Quest Info,Reordered,"",,,,
quest_BasicSurvival4_subtitle,,Quest Info,Reordered,dgsgsdgsd,,,,
quest_BasicSurvival5_description,,Quest Info,Reordered,".",,,,
quest_BasicSurvival5_subtitle,,Quest Info,Reordered,Craft Wooden Club,,,,
quest_BasicSurvival6_description,,Quest Info,Reordered,"",,,,
quest_BasicSurvival6_subtitle,,Quest Info,Reordered,Craft Bow & Arrows,,,,
quest_BasicSurvival7_description,,Quest Info,Reordered,"Craft some snow blocks. Place them to start an igloo.",,,,
quest_BasicSurvival7_subtitle,,Quest Info,Reordered,Start an igloo,,,,
quest_BasicSurvival8_description,,Quest Info,KgNone,"Kill any 5 Zombies",,,,
quest_BasicSurvival8_subtitle,,Quest Info,KgNone,Kill Some Zombies,,,,
